variable,attribute,value,index
CASE,class,avector,1
CASE,class,numeric,2
SERIAL,comment,Serial number (if provided),1
SERIAL,class,avector,1
SERIAL,class,character,2
REF,comment,Reference (if provided in link),1
REF,class,avector,1
REF,class,character,2
QUESTNNR,comment,Questionnaire that has been used in the interview,1
QUESTNNR,class,avector,1
QUESTNNR,class,character,2
MODE,levels,interview,1
MODE,class,factor,1
MODE,comment,Interview mode,1
STARTED,class,POSIXct,1
STARTED,class,POSIXt,2
STARTED,comment,Time the interview has started (Europe/Berlin),1
AAID_01,1,strongly disagree,1
AAID_01,2,disagree,1
AAID_01,3,slightly disagree,1
AAID_01,4,neither agree nor disagree,1
AAID_01,5,slightly agree,1
AAID_01,6,agree,1
AAID_01,7,strongly agree,1
AAID_01,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could be used to spy on us,1
AAID_01,class,avector,1
AAID_01,class,numeric,2
AAID_05,1,strongly disagree,1
AAID_05,2,disagree,1
AAID_05,3,slightly disagree,1
AAID_05,4,neither agree nor disagree,1
AAID_05,5,slightly agree,1
AAID_05,6,agree,1
AAID_05,7,strongly agree,1
AAID_05,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could be used unethically by those in power,1
AAID_05,class,avector,1
AAID_05,class,numeric,2
AAID_07,1,strongly disagree,1
AAID_07,2,disagree,1
AAID_07,3,slightly disagree,1
AAID_07,4,neither agree nor disagree,1
AAID_07,5,slightly agree,1
AAID_07,6,agree,1
AAID_07,7,strongly agree,1
AAID_07,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could be used to maintain peace,1
AAID_07,class,avector,1
AAID_07,class,numeric,2
AAID_09,1,strongly disagree,1
AAID_09,2,disagree,1
AAID_09,3,slightly disagree,1
AAID_09,4,neither agree nor disagree,1
AAID_09,5,slightly agree,1
AAID_09,6,agree,1
AAID_09,7,strongly agree,1
AAID_09,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could lead to unforeseen consequences,1
AAID_09,class,avector,1
AAID_09,class,numeric,2
AAID_12,1,strongly disagree,1
AAID_12,2,disagree,1
AAID_12,3,slightly disagree,1
AAID_12,4,neither agree nor disagree,1
AAID_12,5,slightly agree,1
AAID_12,6,agree,1
AAID_12,7,strongly agree,1
AAID_12,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could save lives,1
AAID_12,class,avector,1
AAID_12,class,numeric,2
AAID_14,1,strongly disagree,1
AAID_14,2,disagree,1
AAID_14,3,slightly disagree,1
AAID_14,4,neither agree nor disagree,1
AAID_14,5,slightly agree,1
AAID_14,6,agree,1
AAID_14,7,strongly agree,1
AAID_14,comment,Attitudes Toward AI in Defense Scale: The use of AI in Defense could protect critical national infrastructure,1
AAID_14,class,avector,1
AAID_14,class,numeric,2
PANAS_09,1,never,1
PANAS_09,2,rarely,1
PANAS_09,3,occasionally,1
PANAS_09,4,sometimes,1
PANAS_09,5,often,1
PANAS_09,6,very often,1
PANAS_09,7,most of the time,1
PANAS_09,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt enthusiastic",1
PANAS_09,class,avector,1
PANAS_09,class,numeric,2
PANAS_14,1,never,1
PANAS_14,2,rarely,1
PANAS_14,3,occasionally,1
PANAS_14,4,sometimes,1
PANAS_14,5,often,1
PANAS_14,6,very often,1
PANAS_14,7,most of the time,1
PANAS_14,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt inspired",1
PANAS_14,class,avector,1
PANAS_14,class,numeric,2
PANAS_10,1,never,1
PANAS_10,2,rarely,1
PANAS_10,3,occasionally,1
PANAS_10,4,sometimes,1
PANAS_10,5,often,1
PANAS_10,6,very often,1
PANAS_10,7,most of the time,1
PANAS_10,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt proud",1
PANAS_10,class,avector,1
PANAS_10,class,numeric,2
PANAS_05,1,never,1
PANAS_05,2,rarely,1
PANAS_05,3,occasionally,1
PANAS_05,4,sometimes,1
PANAS_05,5,often,1
PANAS_05,6,very often,1
PANAS_05,7,most of the time,1
PANAS_05,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt strong",1
PANAS_05,class,avector,1
PANAS_05,class,numeric,2
PANAS_08,1,never,1
PANAS_08,2,rarely,1
PANAS_08,3,occasionally,1
PANAS_08,4,sometimes,1
PANAS_08,5,often,1
PANAS_08,6,very often,1
PANAS_08,7,most of the time,1
PANAS_08,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt hostile",1
PANAS_08,class,avector,1
PANAS_08,class,numeric,2
PANAS_06,1,never,1
PANAS_06,2,rarely,1
PANAS_06,3,occasionally,1
PANAS_06,4,sometimes,1
PANAS_06,5,often,1
PANAS_06,6,very often,1
PANAS_06,7,most of the time,1
PANAS_06,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt guilty",1
PANAS_06,class,avector,1
PANAS_06,class,numeric,2
PANAS_04,1,never,1
PANAS_04,2,rarely,1
PANAS_04,3,occasionally,1
PANAS_04,4,sometimes,1
PANAS_04,5,often,1
PANAS_04,6,very often,1
PANAS_04,7,most of the time,1
PANAS_04,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt upset",1
PANAS_04,class,avector,1
PANAS_04,class,numeric,2
PANAS_18,1,never,1
PANAS_18,2,rarely,1
PANAS_18,3,occasionally,1
PANAS_18,4,sometimes,1
PANAS_18,5,often,1
PANAS_18,6,very often,1
PANAS_18,7,most of the time,1
PANAS_18,comment,"Positive and Negative Affect Schedule: During the last two weeks, I have felt jittery",1
PANAS_18,class,avector,1
PANAS_18,class,numeric,2
OLBI_07,1,strongly disagree,1
OLBI_07,2,disagree,1
OLBI_07,3,slightly disagree,1
OLBI_07,4,neither agree nor disagree,1
OLBI_07,5,slightly agree,1
OLBI_07,6,agree,1
OLBI_07,7,strongly agree,1
OLBI_07,comment,Oldenburg Burnout Inventory: I ﬁnd my work to be a positive challenge.,1
OLBI_07,class,avector,1
OLBI_07,class,numeric,2
OLBI_08,1,strongly disagree,1
OLBI_08,2,disagree,1
OLBI_08,3,slightly disagree,1
OLBI_08,4,neither agree nor disagree,1
OLBI_08,5,slightly agree,1
OLBI_08,6,agree,1
OLBI_08,7,strongly agree,1
OLBI_08,comment,"Oldenburg Burnout Inventory: During my work, I often feel emotionally drained.",1
OLBI_08,class,avector,1
OLBI_08,class,numeric,2
OLBI_09,1,strongly disagree,1
OLBI_09,2,disagree,1
OLBI_09,3,slightly disagree,1
OLBI_09,4,neither agree nor disagree,1
OLBI_09,5,slightly agree,1
OLBI_09,6,agree,1
OLBI_09,7,strongly agree,1
OLBI_09,comment,"Oldenburg Burnout Inventory: Over time, one can become disconnected from this type of work.",1
OLBI_09,class,avector,1
OLBI_09,class,numeric,2
OLBI_10,1,strongly disagree,1
OLBI_10,2,disagree,1
OLBI_10,3,slightly disagree,1
OLBI_10,4,neither agree nor disagree,1
OLBI_10,5,slightly agree,1
OLBI_10,6,agree,1
OLBI_10,7,strongly agree,1
OLBI_10,comment,"Oldenburg Burnout Inventory: After working, I have enough energy for my leisure activities.",1
OLBI_10,class,avector,1
OLBI_10,class,numeric,2
OLBI_11,1,strongly disagree,1
OLBI_11,2,disagree,1
OLBI_11,3,slightly disagree,1
OLBI_11,4,neither agree nor disagree,1
OLBI_11,5,slightly agree,1
OLBI_11,6,agree,1
OLBI_11,7,strongly agree,1
OLBI_11,comment,Oldenburg Burnout Inventory: Sometimes I feel sickened by my work tasks.,1
OLBI_11,class,avector,1
OLBI_11,class,numeric,2
OLBI_12,1,strongly disagree,1
OLBI_12,2,disagree,1
OLBI_12,3,slightly disagree,1
OLBI_12,4,neither agree nor disagree,1
OLBI_12,5,slightly agree,1
OLBI_12,6,agree,1
OLBI_12,7,strongly agree,1
OLBI_12,comment,"Oldenburg Burnout Inventory: After my work, I usually feel worn out and weary.",1
OLBI_12,class,avector,1
OLBI_12,class,numeric,2
OLBI_15,1,strongly disagree,1
OLBI_15,2,disagree,1
OLBI_15,3,slightly disagree,1
OLBI_15,4,neither agree nor disagree,1
OLBI_15,5,slightly agree,1
OLBI_15,6,agree,1
OLBI_15,7,strongly agree,1
OLBI_15,comment,Oldenburg Burnout Inventory: I feel more and more engaged in my work.,1
OLBI_15,class,avector,1
OLBI_15,class,numeric,2
OLBI_16,1,strongly disagree,1
OLBI_16,2,disagree,1
OLBI_16,3,slightly disagree,1
OLBI_16,4,neither agree nor disagree,1
OLBI_16,5,slightly agree,1
OLBI_16,6,agree,1
OLBI_16,7,strongly agree,1
OLBI_16,comment,"Oldenburg Burnout Inventory: When I work, I usually feel energized.",1
OLBI_16,class,avector,1
OLBI_16,class,numeric,2
UWES9_01,1,strongly disagree,1
UWES9_01,2,disagree,1
UWES9_01,3,slightly disagree,1
UWES9_01,4,neither agree nor disagree,1
UWES9_01,5,slightly agree,1
UWES9_01,6,agree,1
UWES9_01,7,strongly agree,1
UWES9_01,comment,"Utrecht Work Engagement Scale: At my work, I feel bursting with energy.",1
UWES9_01,class,avector,1
UWES9_01,class,numeric,2
UWES9_02,1,strongly disagree,1
UWES9_02,2,disagree,1
UWES9_02,3,slightly disagree,1
UWES9_02,4,neither agree nor disagree,1
UWES9_02,5,slightly agree,1
UWES9_02,6,agree,1
UWES9_02,7,strongly agree,1
UWES9_02,comment,"Utrecht Work Engagement Scale: At my job, I feel strong and vigorous.",1
UWES9_02,class,avector,1
UWES9_02,class,numeric,2
UWES9_03,1,strongly disagree,1
UWES9_03,2,disagree,1
UWES9_03,3,slightly disagree,1
UWES9_03,4,neither agree nor disagree,1
UWES9_03,5,slightly agree,1
UWES9_03,6,agree,1
UWES9_03,7,strongly agree,1
UWES9_03,comment,Utrecht Work Engagement Scale: I am enthusiastic about my job.,1
UWES9_03,class,avector,1
UWES9_03,class,numeric,2
UWES9_04,1,strongly disagree,1
UWES9_04,2,disagree,1
UWES9_04,3,slightly disagree,1
UWES9_04,4,neither agree nor disagree,1
UWES9_04,5,slightly agree,1
UWES9_04,6,agree,1
UWES9_04,7,strongly agree,1
UWES9_04,comment,Utrecht Work Engagement Scale: My job inspires me.,1
UWES9_04,class,avector,1
UWES9_04,class,numeric,2
UWES9_05,1,strongly disagree,1
UWES9_05,2,disagree,1
UWES9_05,3,slightly disagree,1
UWES9_05,4,neither agree nor disagree,1
UWES9_05,5,slightly agree,1
UWES9_05,6,agree,1
UWES9_05,7,strongly agree,1
UWES9_05,comment,"Utrecht Work Engagement Scale: When I get up in the morning, I feel like going to work.",1
UWES9_05,class,avector,1
UWES9_05,class,numeric,2
UWES9_06,1,strongly disagree,1
UWES9_06,2,disagree,1
UWES9_06,3,slightly disagree,1
UWES9_06,4,neither agree nor disagree,1
UWES9_06,5,slightly agree,1
UWES9_06,6,agree,1
UWES9_06,7,strongly agree,1
UWES9_06,comment,Utrecht Work Engagement Scale: I feel happy when I am working intensely.,1
UWES9_06,class,avector,1
UWES9_06,class,numeric,2
UWES9_07,1,strongly disagree,1
UWES9_07,2,disagree,1
